rank_test_score,params,mean_test_score
1,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_split': 15}",0.614708063624409
2,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_split': 10}",0.6146570406132965
3,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_split': 5}",0.6146366360941601
4,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_split': 15}",0.6138509540850164
5,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_split': 5}",0.613718294256124
6,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_split': 10}",0.613708091736261
7,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_split': 5}",0.6045550841325256
8,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_split': 15}",0.604136736568001
9,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_split': 10}",0.6040142829031006
10,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 15}",0.6026265278010597
11,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6009632453154723
12,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_split': 5}",0.5992592287565504
13,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_split': 10}",0.598442916281864
14,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_split': 15}",0.5980755641371899
15,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5}",0.596402035402192
16,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 15}",0.5925552392683006
17,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': None, 'min_samples_split': 10}",0.5922082796691964
18,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': None, 'min_samples_split': 15}",0.592177651806603
19,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': None, 'min_samples_split': 5}",0.5916776648213491
20,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 15}",0.5913411373222315
21,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10}",0.5887899138840271
22,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5}",0.5877287018883876
23,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5}",0.5869227507134684
24,"{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_split': 5}",0.5862083785812677
25,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5}",0.5846777168803341
26,"{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_split': 15}",0.5846165491348317
27,"{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_split': 10}",0.5846165283112377
28,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10}",0.5844224617861021
29,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10}",0.5830658176540348
30,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5}",0.5758209868509416
31,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 15}",0.5757189101139155
32,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 15}",0.5721269224081654
33,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10}",0.5717081443158356
34,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 15}",0.571167321221637
35,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10}",0.570606625130538
36,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5}",0.5705760795211405
37,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10}",0.5694534655145667
38,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 15}",0.5662699159455629
39,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5}",0.5662596926021058
40,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 15}",0.5661371936458885
41,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 15}",0.5637087336235448
42,"{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5}",0.5635656895889318
43,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10}",0.5631781302286744
44,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 15}",0.5615962195806337
45,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10}",0.5574944510327982
46,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5}",0.5573311716707499
47,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 15}",0.5559536435562951
48,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5}",0.5522799930032725
49,"{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10}",0.551351576710476
50,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10}",0.5486985258977832
51,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5}",0.548310775481051
52,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 15}",0.5479638445143886
53,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5}",0.546769943536825
54,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10}",0.5440352715240477
